static_primax_unique,False,False,False,True
static_german,False,False,True,False
unbounce_primax,False,True,False,False
User Device,,,,
Desktop,545,1410,2127,552
Gaming,1,0,0,0
Media,0,4,1,0
Mobile,1108,5074,706,1677
Tablet,205,1201,284,445
